"Category","States/UTs","Total/Sector","2007-08 - Hydel","2007-08 - Thermal","2007-08 - Total","2008-09 - Hydel","2008-09 - Thermal","2008-09 - Total","2009-10 - Hydel","2009-10 - Thermal","2009-10 - Total","2010-11 - Hydel","2010-11 - Thermal","2010-11 - Total","2011-12 - Hydel","2011-12 - Thermal","2011-12 - Total","Total (2007-12) - Hydel","Total (2007-12) - Thermal","Total (2007-12) - Total"
"I.States","Andhra Pradesh","Total","39.00 ","210.00 ","249.00 ","39.00 ","0.00 ","39.00 ","39.00 ","1477.00 ","1516.00 ","78.00 ","1008.00 ","1086.00 ","39.00 ","650.00 ","689.00 ","234.00 ","3345.00 ","3579.00 "
"I.States","Andhra Pradesh","State Sector","39.00 ","210.00 ","249.00 ","39.0","0.0","39.0","39.0","500.0","539.0","78.0","710.0","788.0","39.0","500.0","539.0","234.0","1920.00 ","2154.00 "
"I.States","Andhra Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","977.0","977.0","0.0","298.0","298.0","0.0","150.0","150.0","0.0","1425.00 ","1425.00 "
"I.States","Assam","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.2","37.2","0.0","37.20 ","37.20 "
"I.States","Assam","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.2","37.2","0.0","37.20 ","37.20 "
"I.States","Assam","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Chattisgarh","Total","0.00 ","1000.00 ","1000.00 ","0.0","250.0","250.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","233.0","233.0","0.0","2083.00 ","2083.00 "
"I.States","Chattisgarh","State Sector","0.00 ","250.00 ","250.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","250.00 ","250.00 "
"I.States","Chattisgarh","Private Sector","0.00 ","750.00 ","750.00 ","0.0","250.0","250.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","233.0","233.0","0.0","1833.00 ","1833.00 "
"I.States","Delhi","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","571.5","571.5","0.0","286.5","286.5","0.0","858.00 ","858.00 "
"I.States","Delhi","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","500.0","0.0","250.0","250.0","0.0","750.00 ","750.00 "
"I.States","Delhi","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.5","71.5","0.0","36.5","36.5","0.0","108.00 ","108.00 "
"I.States","Gujarat","Total","0.00 ","40.00 ","40.00 ","0.0","382.5","382.5","0.0","1874.0","1874.0","0.0","1570.0","1570.0","0.0","4391.0","4391.0","0.0","8257.50 ","8257.50 "
"I.States","Gujarat","State Sector","0.00 ","40.00 ","40.00 ","0.0","0.0","0.0","0.0","449.0","449.0","0.0","250.0","250.0","0.0","351.0","351.0","0.0","1090.00 ","1090.00 "
"I.States","Gujarat","Private Sector","0.00 ","0.00 ","0.00 ","0.0","382.5","382.5","0.0","1425.0","1425.0","0.0","1320.0","1320.0","0.0","4040.0","4040.0","0.0","7167.50 ","7167.50 "
"I.States","Haryana","Total","0.00 ","600.00 ","600.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","660.0","660.0","0.0","660.00 ","660.00 "
"I.States","Haryana","State Sector","0.00 ","600.00 ","600.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Haryana","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","660.0","660.0","0.0","660.00 ","660.00 "
"I.States","Himachal Pradesh","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","192.0","1100.0","0.0","1100.0","1292.0","0.00 ","1292.00 "
"I.States","Himachal Pradesh","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Himachal Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","192.0","1100.0","0.0","1100.0","1292.0","0.00 ","1292.00 "
"I.States","Jammu and Kashmir","Total","0.00 ","0.00 ","0.00 ","450.0","0.0","450.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","450.0","0.00 ","450.00 "
"I.States","Jammu and Kashmir","State Sector","0.00 ","0.00 ","0.00 ","450.0","0.0","450.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","450.0","0.00 ","450.00 "
"I.States","Jammu and Kashmir","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Jharkhand","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1050.0","1050.0","0.0","1050.00 ","1050.00 "
"I.States","Jharkhand","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Jharkhand","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1050.0","1050.0","0.0","1050.00 ","1050.00 "
"I.States","Karnataka","Total","0.00 ","500.00 ","500.00 ","230.0","0.0","230.0","0.0","600.0","600.0","0.0","850.0","850.0","0.0","1100.0","1100.0","230.0","3050.00 ","3280.00 "
"I.States","Karnataka","State Sector","0.00 ","500.00 ","500.00 ","230.0","0.0","230.0","0.0","0.0","0.0","0.0","250.0","250.0","0.0","500.0","500.0","230.0","1250.00 ","1480.00 "
"I.States","Karnataka","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","1800.00 ","1800.00 "
"I.States","Kerala","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.00 ","100.00 "
"I.States","Kerala","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.00 ","100.00 "
"I.States","Kerala","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Madhya Pradesh","Total","0.00 ","500.00 ","500.00 ","0.0","210.0","210.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","710.00 ","710.00 "
"I.States","Madhya Pradesh","State Sector","0.00 ","500.00 ","500.00 ","0.0","210.0","210.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","710.00 ","710.00 "
"I.States","Madhya Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Maharashtra","Total","0.00 ","250.00 ","250.00 ","250.0","250.0","500.0","0.0","500.0","500.0","0.0","1005.0","1005.0","0.0","2481.0","2481.0","250.0","4486.00 ","4736.00 "
"I.States","Maharashtra","State Sector","0.00 ","250.00 ","250.00 ","250.0","250.0","500.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","1500.0","1500.0","250.0","2500.00 ","2750.00 "
"I.States","Maharashtra","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1005.0","1005.0","0.0","981.0","981.0","0.0","1986.00 ","1986.00 "
"I.States","Meghalaya","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","84.0","0.0","84.0","84.0","0.00 ","84.00 "
"I.States","Meghalaya","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","84.0","0.0","84.0","84.0","0.00 ","84.00 "
"I.States","Meghalaya","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Orissa","Total","150.00 ","0.00 ","150.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1200.0","1200.0","0.0","600.0","600.0","150.0","1800.0","1950.0"
"I.States","Orissa","State Sector","150.00 ","0.00 ","150.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","150.0","0.0","150.0"
"I.States","Orissa","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1200.0","1200.0","0.0","600.0","600.0","0.0","1800.0","1800.0"
"I.States","Punjab","Total","0.00 ","250.00 ","250.00 ","0.0","250.0","250.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","500.0"
"I.States","Punjab","State Sector","0.00 ","250.00 ","250.00 ","0.0","250.0","250.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","500.0"
"I.States","Punjab","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Rajasthan","Total","0.00 ","220.00 ","220.00 ","0.0","0.0","0.0","0.0","955.0","955.0","0.0","385.0","385.0","0.0","270.0","270.0","0.0","1830.00 ","1830.00 "
"I.States","Rajasthan","State Sector","0.00 ","220.00 ","220.00 ","0.0","0.0","0.0","0.0","820.0","820.0","0.0","250.0","250.0","0.0","0.0","0.0","0.0","1290.00 ","1290.00 "
"I.States","Rajasthan","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","135.0","135.0","0.0","135.0","135.0","0.0","270.0","270.0","0.0","540.00 ","540.00 "
"I.States","Tamil Nadu","Total","0.00 ","0.00 ","0.00 ","0.0","92.2","92.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","92.20 ","92.20 "
"I.States","Tamil Nadu","State Sector","0.00 ","0.00 ","0.00 ","0.0","92.2","92.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","92.20 ","92.20 "
"I.States","Tamil Nadu","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Uttar Pradesh","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","300.0","300.0","0.0","300.0","300.0","0.0","2500.0","2500.0","0.0","3100.00 ","3100.00 "
"I.States","Uttar Pradesh","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","250.0","250.0","0.0","250.00 ","250.00 "
"I.States","Uttar Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","300.0","300.0","0.0","300.0","300.0","0.0","2250.0","2250.0","0.0","2850.00 ","2850.00 "
"I.States","Uttarakhand","Total","304.00 ","0.00 ","304.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","304.0","0.00 ","304.00 "
"I.States","Uttarakhand","State Sector","304.00 ","0.00 ","304.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","304.0","0.00 ","304.00 "
"I.States","Uttarakhand","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","West Bengal","Total","900.00 ","1060.00 ","1960.00 ","0.0","300.0","300.0","0.0","460.0","460.0","0.0","0.0","0.0","0.0","250.0","250.0","900.0","2070.00 ","2970.00 "
"I.States","West Bengal","State Sector","900.00 ","1060.00 ","1960.00 ","0.0","300.0","300.0","0.0","210.0","210.0","0.0","0.0","0.0","0.0","250.0","250.0","900.0","1820.00 ","2720.00 "
"I.States","West Bengal","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","250.0","250.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","250.00 ","250.00 "
"II.EDs","Arunachal Pradesh","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Goa","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Manipur","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Mizoram","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Nagaland","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Pondicherry","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Sikkim","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"II.EDs","Tripura","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","21.0","0.0","0.0","0.0","0.0","21.00 ","21.00 "
"II.EDs","Andaman and Nicobar Islands","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"III.CENTRAL SECTOR","APCPL","APCPL","NA","NA","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","500.0","0.0","500.0","500.0","0.0","1000.00 ","1000.00 "
"III.CENTRAL SECTOR","NPCIL","NPCIL","NA","220.00 ","220.00 ","0.0","0.0","0.0","0.0","440.0","440.0","0.0","220.0","220.0","0.0","0.0","0.0","0.0","880.00 ","880.00 "
"III.CENTRAL SECTOR","DVC","DVC","NA","250.00 ","250.00 ","0.0","0.0","0.0","0.0","500.0","500.0","0.0","1000.0","1000.0","0.0","1500.0","1500.0","0.0","3250.00 ","3250.00 "
"III.CENTRAL SECTOR","NEEPCO","NEEPCO","NA","NA","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"III.CENTRAL SECTOR","NLC","NLC","NA","NA","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","250.0","250.0","0.0","250.0","250.0","0.0","500.00 ","500.00 "
"III.CENTRAL SECTOR","NHPC","NHPC","510.00 ","NA","510.00 ","0.0","0.0","0.0","0.0","0.0","0.0","120.0","0.0","120.0","0.0","0.0","0.0","630.0","0.00 ","630.00 "
"III.CENTRAL SECTOR","NHDC","NHDC","520.00 ","0.00 ","520.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","520.0","0.00 ","520.00 "
"III.CENTRAL SECTOR","THDC","THDC","NA","NA","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","200.0","0.0","200.0","200.0","0.0","200.0","400.0","0.00 ","400.00 "
"III.CENTRAL SECTOR","Ratnagiri","Ratnagiri","NA","740.00 ","740.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","740.00 ","740.00 "
"III.CENTRAL SECTOR","NTPC","NTPC","NA","1000.00 ","1000.00 ","0.0","750.0","750.0","0.0","1240.0","1240.0","0.0","1990.0","1990.0","0.0","2320.0","2320.0","0.0","7300.00 ","7300.00 "
"I.States","Total (I)","Total","1393.00 ","4630.00 ","6023.00 ","969.00 ","1734.70 ","2703.70 ","39.00 ","7366.00 ","7405.00 ","370.00 ","7489.50 ","7859.50 ","1223.00 ","14508.70 ","15731.70 ","3994.00 ","35728.90 ","39722.90 "
"II.Eds","Total (II)","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","21.0","0.0","0.0","0.0","0.0","21.00 ","21.00 "
"III.CENTRAL SECTOR","Total (III)","Total","1030.00 ","2210.00 ","3240.00 ","0.0","750.0","750.0","0.0","2180.0","2180.0","320.0","3960.0","4280.0","200.0","4570.0","4770.0","1550.0","13670.00 ","15220.00 "
